name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
43068,2022-09-18,82.3,61.7,72.2,82.2,61.7,72.2,60.6,70,0,0,0,,0,0,19.7,12.4,210.5,1017.9,53.8,9.5,146.2,12.6,6,10,2022-09-18T07:15:00,2022-09-18T19:34:57,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-19,80.2,66.1,72.4,82.5,66.1,72.5,64.6,76.9,0.037,100,16.67,rain,0,0,18.3,8.9,230.8,1014.3,66.4,9.7,79,6.5,3,30,2022-09-19T07:15:56,2022-09-19T19:33:17,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-09-20,83.8,58.8,71.6,82.7,58.8,71.4,58.7,69,0,0,0,rain,0,0,11,6.9,27.8,1016.4,29.6,8.9,199.3,17.1,8,10,2022-09-20T07:16:53,2022-09-20T19:31:38,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-21,87.1,65.5,75.7,92.4,65.5,77.3,66.3,73.9,0.428,100,25,rain,0,0,23.3,14.6,217.5,1012.4,70.3,9.3,129.3,11.1,7,75,2022-09-21T07:17:50,2022-09-21T19:29:59,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-09-22,73.9,52.5,64.5,73.9,52.5,64.5,49.3,59,0,0,0,,0,0,32.9,22.1,328,1014,63.5,9.9,124.5,10.8,6,10,2022-09-22T07:18:47,2022-09-22T19:28:19,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-23,65.8,44.4,55.7,65.8,42.1,54.9,41.7,61.9,0,0,0,,0,0,13.2,8.2,343.2,1022.2,29.4,9.9,188.6,16.3,8,10,2022-09-23T07:19:45,2022-09-23T19:26:40,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-24,70.1,55.2,61.7,70.1,55.2,61.7,49.9,66.8,0.012,100,4.17,rain,0,0,16.1,14.3,168.3,1016.1,82.4,9.9,136,11.8,7,10,2022-09-24T07:20:42,2022-09-24T19:25:01,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-25,70.3,60.7,64.1,70.3,60.7,64.1,55.4,74.6,0.445,100,16.67,rain,0,0,30.7,22.8,254.1,1006.7,76,9.9,104,8.9,5,10,2022-09-25T07:21:40,2022-09-25T19:23:22,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-26,67.7,53.1,59.7,67.7,53.1,59.7,47.2,65.2,0,0,0,,0,0,32.9,21.9,265.9,1009,69.5,9.8,128.5,11.1,7,10,2022-09-26T07:22:37,2022-09-26T19:21:43,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-27,61,46.7,52.5,61,44.7,51.7,44,73.3,0.061,100,8.33,rain,0,0,35.2,20.4,288,1015.7,53.5,9.7,96.2,8.4,3,10,2022-09-27T07:23:35,2022-09-27T19:20:04,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KCMH,C7241,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-28,60.9,43.7,51.9,60.9,42.4,51.4,44.5,76.8,0,0,0,,0,0,20.8,15.5,330,1026.1,72.7,9.9,71.1,6.1,3,10,2022-09-28T07:24:33,2022-09-28T19:18:26,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-29,62,45.5,52.6,62,42.5,51.8,45.4,78.2,0,0,0,,0,0,20.6,14.4,43,1030.3,43.2,9.8,102.9,9,5,10,2022-09-29T07:25:31,2022-09-29T19:16:48,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-09-30,65,43.4,53.2,65,40.5,52.3,41.9,68.7,0,0,0,,0,0,18.3,14.7,35.4,1023.6,40.8,9.9,146.5,12.7,6,10,2022-09-30T07:26:30,2022-09-30T19:15:10,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-01,62.9,50.1,56.5,62.9,50.1,56.5,44.9,65.8,0.002,100,8.33,rain,0,0,37.6,17.1,2.7,1016.9,84.1,9.9,58.8,4.9,2,10,2022-10-01T07:27:29,2022-10-01T19:13:32,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-10-02,67.8,51,59.1,67.8,51,59.1,47.7,66.6,0,0,0,,0,0,35.6,20.6,12.8,1020.8,46.8,9.9,183.2,15.8,8,10,2022-10-02T07:28:27,2022-10-02T19:11:55,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-03,67.8,42.7,53.8,67.8,39,52.6,41.5,67.2,0,0,0,,0,0,25.5,11,24.7,1025.4,1.2,9.9,196.1,16.8,8,10,2022-10-03T07:29:27,2022-10-03T19:10:18,0.28,Clear,Clear conditions throughout the day.,clear-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-04,66.9,39.8,52.2,66.9,37.1,51.2,41.1,69.9,0,0,0,,0,0,17,13.2,349.9,1022.6,35.4,9.9,190.2,16.4,8,10,2022-10-04T07:30:26,2022-10-04T19:08:42,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-10-05,75.7,40.6,56.8,75.7,40.6,56.7,40.2,60.3,0,0,0,,0,0,10.1,7.8,336,1019.5,14.3,9.9,191.2,16.5,8,10,2022-10-05T07:31:26,2022-10-05T19:07:06,0.35,Clear,Clear conditions throughout the day.,clear-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-06,75.5,45.8,58.6,75.5,45.8,58.6,44.8,65,0,0,0,,0,0,15,10.5,197.1,1017.3,67.3,9.8,116.5,10.1,6,10,2022-10-06T07:32:26,2022-10-06T19:05:30,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-07,61.8,43.7,53.3,61.8,43.1,52.9,42.6,67.9,0,0,0,,0,0,23,17.2,337.5,1021.5,77.2,9.9,74,6.3,4,10,2022-10-07T07:33:26,2022-10-07T19:03:55,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-08,56,34.5,45.3,56,34.5,44.4,33.2,66.1,0,0,0,freezingrain,0,0,16.1,11.4,288.2,1027,22,9.8,164.6,14.3,7,10,2022-10-08T07:34:26,2022-10-08T19:02:21,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-09,63,35.8,48.5,63,33.1,47.5,32.5,58.8,0,0,0,,0,0,23,12.8,221.9,1023.7,6.7,9.8,190.3,16.4,7,10,2022-10-09T07:35:27,2022-10-09T19:00:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-10,71,42.9,55.5,71,40.3,54.7,38,54.5,0,0,0,,0,0,16.6,8.2,185.2,1023.7,25.5,9.9,174.5,14.9,7,10,2022-10-10T07:36:28,2022-10-10T18:59:14,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-11,73.2,44.6,58.4,73.2,44.1,58.3,40.9,57.4,0,0,0,,0,0,20.8,12.2,164.3,1024,25.5,9.9,180,15.5,7,10,2022-10-11T07:37:30,2022-10-11T18:57:41,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-12,74.8,54.8,62.8,74.8,54.8,62.8,51.8,68.5,0.126,100,20.83,rain,0,0,31.1,15.4,170.1,1013.9,81.3,9.6,84,7.1,4,10,2022-10-12T07:38:31,2022-10-12T18:56:09,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-13,64.1,49,56.7,64.1,44.9,56.5,42.4,63.3,0.099,100,33.33,rain,0,0,31.1,17.1,259.3,1007.3,81.8,9.5,168.8,14.7,7,10,2022-10-13T07:39:33,2022-10-13T18:54:38,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-14,63.9,40.7,51.3,63.9,38.9,50.8,30.7,53.2,0,0,0,,0,0,32.7,22.1,203.2,1010.5,50.2,9.9,164.7,14.2,7,10,2022-10-14T07:40:36,2022-10-14T18:53:07,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-15,58.9,47.4,53.8,58.9,46.4,53.7,31.1,43.7,0,0,0,,0,0,27.9,16.8,230.1,1012.8,54.8,9.9,178.3,15.3,7,10,2022-10-15T07:41:39,2022-10-15T18:51:38,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-16,69.8,43.3,55.1,69.8,41.7,54.5,36.4,52.9,0,0,0,,0,0,31.1,15.5,221.7,1013.7,72.4,9.9,146.7,12.6,6,10,2022-10-16T07:42:42,2022-10-16T18:50:09,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-17,54.1,39.8,45.9,54.1,31.7,39.9,28.4,51.3,0,0,0,rain,0,0,30.6,21.6,267.2,1008.8,79.9,9.9,75.8,6.5,4,10,2022-10-17T07:43:45,2022-10-17T18:48:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-18,45,36,39.6,38.1,26.1,31.5,33.1,78.2,0.047,100,16.67,"rain,snow",0,0,33.9,23.8,270.9,1010.3,99.6,9.7,33.8,2.9,2,10,2022-10-18T07:44:49,2022-10-18T18:47:13,0.78,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-19,46.2,37.1,40.8,43.1,28.4,34.4,35.2,81.1,0.136,100,41.67,"rain,snow",0,0,28,19,260.4,1012.9,77.2,9.3,31.8,2.7,1,10,2022-10-19T07:45:53,2022-10-19T18:45:47,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-10-20,53.7,32.1,42.3,53.7,25.2,38.4,20,44,0,0,0,,0,0,31.6,20.9,220.6,1014.1,50.4,9.8,111.8,9.6,6,10,2022-10-20T07:46:57,2022-10-20T18:44:22,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-21,69.1,39,52.9,69.1,36,51.6,28,39.7,0,0,0,,0,0,31.3,19.4,181.3,1015.5,45.1,9.9,155.2,13.5,6,10,2022-10-21T07:48:02,2022-10-21T18:42:58,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-22,75.8,47.1,60.2,75.8,44.1,59.6,41.1,50.1,0,0,0,,0,0,19.9,12,153.7,1017.9,30.8,9.9,149.9,12.9,6,10,2022-10-22T07:49:07,2022-10-22T18:41:34,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-23,76.9,50.9,63.1,76.9,50.9,63.1,46.6,57.3,0,0,0,,0,0,15.4,9.6,141.7,1020.4,21.4,9.9,156,13.5,7,10,2022-10-23T07:50:12,2022-10-23T18:40:12,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-24,75.9,46.6,61,75.9,45.7,60.9,43.9,57.7,0,0,0,,0,0,15.2,8.3,149.7,1019.1,32.7,9.9,140.1,12,6,10,2022-10-24T07:51:18,2022-10-24T18:38:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-25,74.9,51.9,65.5,74.9,51.9,65.5,46,49.9,0,0,0,,0,0,23,13.9,144.7,1011.4,71.9,9.9,101.8,8.8,4,10,2022-10-25T07:52:24,2022-10-25T18:37:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-26,67.1,48,55.3,67.1,43.9,54.7,46.9,74.7,0.041,100,41.67,rain,0,0,35.7,19.3,246.9,1009.7,98.6,9.3,21.7,1.9,1,10,2022-10-26T07:53:31,2022-10-26T18:36:12,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,72428014821"
43068,2022-10-27,56.9,44,48.8,56.9,40.2,46.1,35.6,60.9,0,0,0,rain,0,0,17.7,13.1,33.4,1025.4,69.6,9.9,150.7,13,6,10,2022-10-27T07:54:37,2022-10-27T18:34:54,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-10-28,63.9,37.7,49.2,63.9,33.4,47.7,34.4,59.8,0,0,0,,0,0,20.4,9.9,71.8,1028.6,37.9,9.9,152.4,13.2,6,10,2022-10-28T07:55:44,2022-10-28T18:33:38,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-29,67.8,35.3,51.2,67.8,35.3,51,37.3,61.8,0,0,0,,0,0,16.3,8.6,85.8,1027.3,17.2,9.9,156.3,13.4,6,10,2022-10-29T07:56:51,2022-10-29T18:32:22,0.15,Clear,Clear conditions throughout the day.,clear-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-30,64.1,43.1,53.1,64.1,40.8,52.6,46.2,78.1,0.059,100,20.83,rain,0,0,12.5,7,108.8,1018.8,81.4,9.7,66.4,5.8,4,10,2022-10-30T07:57:59,2022-10-30T18:31:08,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-10-31,66.1,57.6,61.2,66.1,57.6,61.2,57,86.7,0.133,100,25,rain,0,0,21.7,13.7,188,1012.5,97.1,9.6,43.1,3.7,2,10,2022-10-31T07:59:07,2022-10-31T18:29:56,0.22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-01,64,49.3,58.3,64,49.3,58.3,54.2,86.7,0,0,0,,0,0,19.7,9,257.2,1019.8,75.3,9.2,41.8,3.5,2,10,2022-11-01T08:00:15,2022-11-01T18:28:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-02,62.1,42.8,51.3,62.1,42.4,51.1,48,89.7,0,0,0,rain,0,0,7.8,3.9,87.7,1026.8,68.4,3.8,61.1,5.3,3,10,2022-11-02T08:01:23,2022-11-02T18:27:35,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-03,68.3,41,52.8,68.3,41,52.8,47.1,83.5,0,0,0,rain,0,0,14.1,7.2,145.2,1025.1,45.1,5.2,140.3,11.9,6,10,2022-11-03T08:02:32,2022-11-03T18:26:26,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-11-04,74.2,53.5,63.1,74.2,53.5,63.1,50.4,65.3,0,0,0,,0,0,26.4,16.2,171.6,1020.4,45.9,9.9,126,10.9,5,10,2022-11-04T08:03:40,2022-11-04T18:25:20,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-05,75.8,61.9,68.6,75.8,61.9,68.6,53,57.9,0,0,0,,0,0,40.4,22.9,176.3,1012,81,9.8,72.8,6.4,4,10,2022-11-05T08:04:49,2022-11-05T18:24:14,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-06,72.9,59.6,65.3,72.9,59.6,65.3,51.4,61.7,0,0,0,rain,0,0,30.4,19.4,230.1,1016.5,58.6,9.9,93.5,8.2,5,10,2022-11-06T07:05:58,2022-11-06T17:23:10,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-07,65,43.8,53.7,65,43.8,53.2,30.4,47.3,0,0,0,,0,0,18.6,13,353,1028.7,22.2,9.9,139.8,12.1,5,10,2022-11-07T07:07:07,2022-11-07T17:22:08,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-08,59.9,41,49.2,59.9,35.9,46.1,32.1,53,0,0,0,,0,0,34.9,14.8,61.8,1035.2,54.1,9.9,133.6,11.6,5,10,2022-11-08T07:08:17,2022-11-08T17:21:08,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,C7241,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-11-09,70.1,42.1,55.2,70.1,38.1,53.8,26.1,36.5,0,0,0,,0,0,20.4,10.3,126.3,1028.8,24.4,9.9,134.4,11.7,5,10,2022-11-09T07:09:26,2022-11-09T17:20:09,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-10,70.1,48,58.7,70.1,45.3,58.3,36.5,44.7,0,0,0,,0,0,17.2,12.4,149.6,1021.4,37.9,9.9,124.9,10.7,5,10,2022-11-10T07:10:35,2022-11-10T17:19:11,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-11,61.9,50.1,58.4,61.9,50.1,58.4,55,89.3,1.17,100,66.67,rain,0,0,30.5,18.5,349,1007.3,97.9,6.7,19.8,1.7,1,10,2022-11-11T07:11:45,2022-11-11T17:18:16,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,0731W,72428014821"
43068,2022-11-12,48.1,34,38.2,43.3,25.3,31.4,33.6,83.6,0.028,100,20.83,"rain,snow",0,0,23.9,13.6,300.5,1013.4,95.7,8.8,19.1,1.6,1,10,2022-11-12T07:12:54,2022-11-12T17:17:22,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"KCMH,C7241,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-11-13,38.8,33.2,35.2,31.4,24.8,28.1,29.2,79.3,0.021,100,12.5,snow,0,0,20.6,13.5,276.5,1023.4,97.1,9,38.9,3.2,2,10,2022-11-13T07:14:03,2022-11-13T17:16:30,0.67,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,rain,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-14,41.3,30.7,36,38.8,24.9,32.9,24.7,64.6,0,0,0,snow,0,0,15.9,7.5,39,1027.9,65.4,9.9,78.1,6.8,4,10,2022-11-14T07:15:12,2022-11-14T17:15:40,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
43068,2022-11-15,39.1,32.7,36.5,38.2,25.8,31.6,31.1,81.6,0.078,100,37.5,"rain,snow",0,0,27.1,10.6,106.4,1021.5,90.3,7.7,18,1.4,1,10,2022-11-15T07:16:21,2022-11-15T17:14:52,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KCMH,C7241,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-11-16,39.8,31.9,36,33.6,21,27.8,29.9,79,0.01,100,8.33,"rain,snow",0,0,24.3,16.4,261.7,1019.9,99.2,8.4,19,1.5,1,10,2022-11-16T07:17:30,2022-11-16T17:14:05,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"KCMH,C7241,KOSU,KLHQ,72428804804,72429453844,E2973,72428014821"
43068,2022-11-17,33.2,29.1,31.2,24.9,17.9,21.4,22.6,70.6,0,0,0,snow,0,0,25.9,17.9,251.8,1022.3,99.1,9.5,17.1,1.3,1,10,2022-11-17T07:18:39,2022-11-17T17:13:21,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"KCMH,C7241,KOSU,KLHQ,0891W,72428804804,72429453844,E2973,72428014821"
